pseudonym,sex,total_duration,first_date,last_date,nbr_washing_instances,active_time_in_weeks,avg_times_per_week,avg_hours_per_week
M27,m,9.0,2023-01-12,2023-06-17,8,22.285714285714285,0.358974358974359,0.40384615384615385
M28,m,30.16,2023-01-15,2023-11-29,29,45.42857142857143,0.6383647798742138,0.6638993710691824
M29,m,7.0,2023-01-18,2023-06-29,7,23.142857142857142,0.30246913580246915,0.30246913580246915
M3,m,56.0,2022-12-06,2023-11-28,50,51.0,0.9803921568627451,1.0980392156862746
M30,m,15.75,2023-01-20,2023-08-02,14,27.714285714285715,0.5051546391752577,0.5682989690721649
M31,m,1.0,2023-01-27,2023-01-27,1,0.0,inf,inf
M32,m,18.0,2023-02-04,2023-08-25,18,28.857142857142858,0.6237623762376238,0.6237623762376238
M33,m,77.0,2023-02-16,2023-11-30,73,41.0,1.7804878048780488,1.8780487804878048
M34,m,3.25,2023-02-19,2023-08-03,3,23.571428571428573,0.12727272727272726,0.13787878787878788
M35,m,2.0,2023-03-28,2023-04-26,2,4.142857142857143,0.48275862068965514,0.48275862068965514
M36,m,27.0,2023-04-09,2023-12-04,25,34.142857142857146,0.7322175732217573,0.7907949790794978
M37,m,4.0,2023-04-21,2023-07-25,3,13.571428571428571,0.22105263157894736,0.2947368421052632
M38,m,4.0,2023-05-11,2023-11-15,4,26.857142857142858,0.14893617021276595,0.14893617021276595
M39,m,11.0,2023-07-29,2023-11-08,7,14.571428571428571,0.4803921568627451,0.7549019607843137
M4,m,2.0,2022-12-07,2023-03-01,2,12.0,0.16666666666666666,0.16666666666666666
M40,m,7.0,2023-08-15,2023-09-09,6,3.5714285714285716,1.68,1.96
M41,m,2.0,2023-10-05,2023-10-29,2,3.4285714285714284,0.5833333333333334,0.5833333333333334
M42,m,11.0,2023-10-09,2023-11-29,9,7.285714285714286,1.2352941176470589,1.5098039215686274
M43,m,11.0,2023-10-10,2023-12-01,11,7.428571428571429,1.4807692307692306,1.4807692307692306
M44,m,10.0,2023-10-19,2023-12-04,10,6.571428571428571,1.5217391304347827,1.5217391304347827
M45,m,4.0,2023-10-20,2023-11-26,4,5.285714285714286,0.7567567567567568,0.7567567567567568
M46,m,1.0,2023-10-24,2023-10-24,1,0.0,inf,inf
M47,m,2.0,2023-10-30,2023-10-30,2,0.0,inf,inf
M48,m,1.0,2023-11-05,2023-11-05,1,0.0,inf,inf
M49,m,3.0,2023-11-19,2023-11-21,3,0.2857142857142857,10.5,10.5
M5,m,28.0,2022-12-07,2023-11-27,28,50.714285714285715,0.5521126760563381,0.5521126760563381
M6,m,32.5,2022-12-07,2023-03-27,25,15.714285714285714,1.590909090909091,2.0681818181818183
M7,m,136.5,2022-12-07,2023-12-04,133,51.714285714285715,2.5718232044198897,2.639502762430939
M8,m,7.0,2022-12-09,2023-03-25,7,15.142857142857142,0.46226415094339623,0.46226415094339623
M9,m,54.5,2022-12-09,2023-05-29,48,24.428571428571427,1.9649122807017545,2.230994152046784
Putzfrau,f,312.0,2022-12-08,2023-11-30,104,51.0,2.0392156862745097,6.117647058823529
U1,u,4.0,2022-12-17,2023-10-14,4,43.0,0.09302325581395349,0.09302325581395349
U2,u,4.0,2023-08-27,2023-11-02,4,9.571428571428571,0.417910447761194,0.417910447761194
U3,u,1.0,2023-10-30,2023-10-30,1,0.0,inf,inf
